,Gender,TypeofDisability,castecategory,Religion,Candidate State,Candidate District,PartnerName,TC State,TC District,TC Constituency,TC Name,SectorName,JobRole,TotalCandidatesinBatch,agegroup,EducationLevel,placed
57413,1,1,4,6,9,292,59,9,292,277,458,9,21,1,3,3,
21881,1,1,1,3,14,184,40,14,182,40,3506,9,35,1,3,3,
118969,1,1,4,3,22,174,130,25,248,307,663,1,8,1,4,2,
136751,2,1,4,3,5,42,61,5,43,42,125,3,9,1,5,3,
130526,1,1,3,3,4,367,282,4,365,176,3234,7,11,1,4,2,
74995,2,1,1,1,5,252,38,5,254,244,691,3,19,1,2,3,
81875,2,1,3,3,3,52,289,3,53,53,535,1,24,1,6,2,
120842,1,1,3,3,12,265,638,12,169,163,1499,1,1,1,3,3,
123359,1,1,1,3,18,508,59,18,494,118,1379,2,2,1,3,5,
107640,1,1,2,3,14,196,54,14,193,187,266,6,6,1,3,2,
29148,2,1,3,3,8,106,258,8,102,99,2738,4,7,1,3,3,
23137,2,1,3,1,3,133,538,3,130,64,1195,21,95,1,1,2,
112920,2,1,1,5,3,133,1927,3,130,64,6271,15,32,1,4,2,
137583,1,1,3,3,25,117,113,24,114,111,144,31,173,1,7,2,
140487,2,1,1,1,6,455,195,6,451,139,2821,15,32,1,2,2,
145891,1,1,3,3,13,122,35,13,118,115,36,17,31,1,3,5,
58052,2,1,3,1,6,47,195,6,67,69,291,22,57,1,2,3,
60224,1,1,3,4,3,411,785,3,407,54,2000,1,1,2,3,2,
140554,2,1,1,3,9,19,393,9,304,381,6414,12,17,1,3,2,
138051,2,1,1,5,11,183,105,11,181,175,1111,20,109,5,3,3,
109807,1,1,3,3,5,101,335,5,190,334,4794,7,10,1,5,3,
139327,1,1,4,1,5,262,38,5,265,256,456,5,80,1,3,3,
135001,1,1,1,3,8,149,265,8,147,142,2980,1,1,1,3,2,
19070,1,1,3,1,11,391,59,5,179,171,708,1,24,1,5,3,
126688,2,1,4,3,5,165,4,3,53,53,1577,5,66,1,3,3,
64146,1,1,1,3,3,3,552,3,3,3,1503,9,35,1,3,3,
3667,2,1,1,1,11,370,19,11,300,284,695,3,9,6,2,3,
50501,2,1,1,1,8,74,304,8,85,74,579,5,22,1,2,2,
118004,1,1,4,7,15,110,590,15,101,98,1462,1,1,2,4,3,
7780,1,1,1,7,15,254,219,15,239,186,2506,3,45,1,3,3,
66065,1,1,4,3,6,8,297,6,8,8,1243,1,1,1,5,2,
104904,1,1,1,3,14,241,1435,14,243,233,4461,3,9,1,3,3,
43950,2,1,3,3,8,318,11,8,319,301,524,3,3,1,5,5,
122734,2,1,1,1,11,559,30,11,550,482,1836,2,60,1,1,2,
35303,1,1,1,1,5,42,61,5,43,42,125,5,48,1,3,3,
108366,2,1,1,3,22,119,942,25,116,132,2575,4,7,1,3,3,
73788,2,1,4,1,23,403,84,22,400,368,831,4,4,3,2,2,
95330,1,1,2,1,6,260,351,6,263,254,5159,15,32,1,2,2,
91006,1,1,3,3,14,200,19,14,196,40,1339,1,1,2,4,5,
32513,2,1,1,5,13,189,1179,13,82,384,3513,2,15,1,3,2,
109568,1,1,3,1,19,390,432,19,385,356,2946,5,5,1,1,2,
75675,1,1,4,3,13,480,53,13,473,344,2999,1,8,1,5,3,
118070,2,1,3,1,11,647,157,11,653,527,4867,3,20,1,1,2,
69614,2,1,3,3,8,270,90,8,231,222,1727,20,51,1,3,3,
9959,1,1,3,3,5,171,906,3,90,64,2448,1,1,1,4,2,
106291,2,1,3,5,5,290,157,5,217,479,2299,9,13,1,3,2,
35807,1,1,1,1,8,206,91,8,203,196,3130,1,1,1,3,5,
11494,1,1,3,3,11,21,64,11,21,21,1224,1,59,1,2,3,
125714,2,1,3,3,4,514,19,4,352,328,624,6,81,3,3,3,
14588,2,1,1,1,5,43,61,5,44,43,125,4,7,6,3,3,
106916,1,1,1,3,21,564,45,21,554,484,1877,11,30,16,4,5,
129327,2,1,1,3,8,300,397,8,301,89,1622,3,9,1,4,3,
67972,2,1,3,1,5,554,118,5,546,479,152,15,58,1,1,3,
17371,2,1,1,1,11,547,343,11,522,463,2782,5,42,1,2,5,
86431,2,1,3,3,8,276,243,8,269,258,403,9,35,1,3,3,
54029,1,1,4,3,5,471,1533,5,661,205,4758,9,35,1,2,3,
118806,2,1,3,1,3,69,59,3,68,4,444,12,17,1,2,2,
41650,2,1,1,1,11,242,118,11,244,234,152,5,22,1,3,2,
41922,2,1,4,3,5,187,158,5,185,178,6429,9,43,1,3,3,
100759,1,1,1,3,18,508,59,18,494,118,1379,1,24,1,3,5,
138517,1,1,3,3,12,267,67,12,268,201,653,5,5,1,3,3,
96060,2,1,3,5,18,423,321,18,125,206,616,10,105,1,6,2,
123302,2,1,4,3,3,52,147,3,386,53,3776,5,5,1,3,3,
74111,2,1,1,3,17,303,135,17,305,288,1724,12,17,2,2,2,
75120,1,1,1,3,8,287,38,8,147,142,591,5,80,1,2,2,
101276,1,1,1,3,24,148,707,23,415,304,3118,1,1,1,3,2,
114932,2,1,3,3,3,41,87,3,407,54,923,12,17,1,4,3,
65331,2,1,2,1,18,478,553,18,470,398,1232,4,4,1,3,3,
136213,2,1,1,4,5,247,64,5,250,151,1423,6,6,1,3,5,
96715,1,1,4,7,15,45,61,15,46,45,2115,17,72,1,3,3,
61665,2,1,3,3,8,220,1419,8,218,85,4411,4,7,7,3,2,
74598,2,1,1,3,8,87,34,8,85,74,101,3,9,1,3,3,
93173,2,1,4,3,13,123,59,13,119,116,1392,26,119,1,3,5,
149030,1,1,3,5,20,116,918,20,113,110,2491,1,1,1,3,3,
148589,1,1,3,4,15,105,462,15,100,98,973,7,62,1,5,2,
114872,2,1,1,5,5,75,61,5,73,75,89,5,48,8,3,2,
31297,2,1,4,1,14,325,1471,14,326,46,4559,29,213,1,2,3,
131498,2,1,3,1,15,296,87,15,395,280,1933,24,67,1,2,3,
66258,2,1,3,1,5,359,132,5,359,333,171,5,42,1,2,3,
31523,2,1,1,1,21,146,142,21,144,124,189,7,121,8,2,2,
138113,1,1,3,3,8,16,352,8,16,16,1579,1,1,1,5,3,
121917,1,1,3,1,6,68,87,6,67,69,422,2,15,1,2,3,
67937,2,1,3,3,14,374,34,14,455,414,1100,3,9,1,4,5,
21480,1,1,1,3,5,136,134,5,133,128,173,1,8,1,5,2,
118442,2,1,3,3,5,187,1069,5,185,178,5098,18,108,1,3,3,
88109,2,1,3,3,6,83,133,3,529,64,6976,4,4,1,2,2,
17532,2,1,1,3,3,9,325,3,9,9,5139,6,6,1,2,2,
1711,2,1,3,1,5,494,45,5,349,326,619,12,17,1,2,3,
63278,1,1,1,3,5,101,341,5,190,334,1311,1,1,1,2,2,
28374,2,1,1,3,14,513,26,14,455,414,5472,10,50,8,6,2,
147401,1,1,3,3,7,13,36,7,13,13,4533,3,9,1,5,3,
23072,1,1,1,3,16,82,89,16,80,81,2680,5,77,1,2,2,
131994,1,1,3,3,3,357,1295,28,215,208,3976,9,43,1,2,2,
120046,1,1,1,3,11,328,54,11,464,417,4284,2,15,1,2,2,
78910,2,1,1,3,5,118,45,5,402,371,955,12,17,1,2,3,
11046,1,1,3,4,4,143,140,4,294,328,1063,17,72,1,5,3,
111963,1,1,1,1,5,66,948,5,65,67,2848,9,76,1,1,2,
78121,1,1,3,3,25,515,193,24,500,198,7124,1,1,1,7,3,
77434,1,1,3,1,14,200,403,14,196,189,791,5,5,1,5,3,
71658,1,1,3,1,9,250,897,9,252,499,2404,8,28,1,6,6,
145590,2,1,1,3,9,415,1249,9,411,380,3777,10,116,1,3,3,
29244,2,1,3,4,12,161,67,12,174,201,2437,11,30,18,6,5,
5644,1,1,3,1,4,347,38,4,345,322,607,20,51,9,3,4,
48886,2,1,3,5,12,192,269,12,49,48,467,3,20,1,2,5,
121337,1,1,4,1,8,220,733,8,218,85,1846,15,32,1,2,3,
92562,2,1,3,1,7,274,30,7,274,232,420,3,3,1,2,3,
28537,1,1,1,3,8,94,23,7,235,225,2275,1,1,1,6,5,
28282,2,1,1,3,6,47,579,6,48,47,3704,3,9,1,3,5,
8924,2,1,3,1,15,44,87,15,221,214,1375,14,27,1,4,2,
45153,2,1,3,1,24,128,87,23,320,302,529,3,38,1,2,2,
14006,2,1,3,3,1,450,14,1,14,14,14,9,102,9,3,2,
61456,1,1,3,1,11,647,1058,11,653,527,4169,1,1,1,1,2,
126597,2,1,1,5,6,8,33,6,8,8,5677,4,7,1,3,3,
25777,1,1,3,4,4,430,140,4,421,489,5853,17,31,1,3,3,
37354,1,1,3,3,3,6,436,3,6,6,4249,7,11,9,5,3,
18395,2,1,4,3,3,9,551,3,9,9,1227,9,21,1,2,3,
8019,1,1,4,1,5,58,64,5,58,59,68,6,6,2,2,3,
98298,2,1,3,3,20,266,200,20,238,107,795,9,13,1,4,2,
31387,2,1,2,4,8,245,11,8,247,237,832,3,3,1,4,5,
67398,2,1,1,3,6,140,171,6,137,133,626,12,100,1,5,2,
61823,1,1,3,3,8,270,90,8,231,222,750,1,1,1,3,3,
81908,1,1,4,1,11,356,135,11,355,330,2712,1,59,1,4,3,
36465,1,1,1,5,5,151,953,5,149,144,3172,3,9,1,2,3,
111083,2,1,3,3,14,51,54,14,52,52,56,5,77,1,2,2,
140488,1,1,4,3,16,100,327,16,96,94,3819,3,9,2,3,3,
120330,1,1,1,3,17,64,155,17,63,65,210,9,13,1,2,3,
85868,2,1,1,3,14,311,111,14,312,348,776,5,5,1,2,2,
9416,1,1,3,1,24,476,19,23,468,420,1247,6,55,1,2,2,
51701,1,1,1,1,11,547,30,11,538,472,3332,30,196,1,3,5,
137993,1,1,3,3,6,179,99,6,178,170,429,2,15,1,4,3,
58836,2,1,1,3,1,190,255,1,14,123,1203,4,4,1,2,2,
1490,1,1,1,3,8,300,265,8,301,89,817,7,10,1,3,2,
127375,2,1,3,1,4,380,290,4,141,137,538,3,45,17,4,5,
56080,1,1,1,3,9,18,162,9,18,18,869,12,17,1,3,3,
52405,2,1,1,3,4,363,377,4,362,337,1922,3,9,1,3,5,
80061,1,1,3,3,24,476,136,23,468,420,1161,4,4,1,2,2,
73094,2,1,3,1,6,68,87,6,67,69,422,2,15,1,3,3,
34418,2,1,3,3,6,332,1258,6,330,310,3812,23,63,11,3,2,
146888,2,1,3,1,16,334,851,16,333,255,5170,15,32,1,3,3,
82464,1,1,3,1,3,278,1499,3,276,35,5495,17,31,1,2,2,
72617,1,1,4,1,6,22,1334,6,22,22,4101,3,9,12,2,3,
39485,2,1,3,1,8,91,1064,8,319,301,4044,10,25,1,2,3,
80748,1,1,1,1,10,199,30,5,467,419,1158,1,59,1,3,3,
116386,1,1,3,3,3,69,59,3,68,4,444,1,24,1,3,3,
144518,1,1,3,3,13,50,59,13,51,194,843,17,31,1,4,3,
7536,2,1,3,7,15,296,432,15,221,214,3468,5,5,1,3,2,
1060,2,1,3,3,3,62,59,3,398,230,808,9,35,1,4,3,
102995,2,1,3,3,5,294,61,5,279,266,125,3,9,1,4,3,
74853,2,1,3,4,24,476,19,23,146,285,485,6,81,5,4,5,
2661,1,1,3,3,5,171,39,5,39,39,1796,1,1,1,6,2,
41327,1,1,1,3,6,140,235,6,137,246,412,3,39,1,2,2,
42935,1,1,1,3,6,47,654,6,48,47,6074,3,9,1,4,3,
133879,2,1,4,6,9,38,2111,9,140,343,6861,3,9,1,4,5,
50467,2,1,3,3,4,380,290,4,141,137,538,3,9,1,3,4,
97,2,1,2,3,6,83,86,6,81,78,97,3,38,1,3,3,
119668,1,1,4,1,8,499,65,8,290,275,1330,1,1,1,1,5,
40052,2,1,3,7,15,485,87,15,477,429,1222,3,38,5,2,3,
32944,2,1,1,1,8,326,1130,8,202,33,3343,15,112,1,2,5,
91226,2,1,1,3,5,259,736,5,179,171,1903,4,4,1,4,3,
1071,1,1,3,3,5,359,341,5,359,333,896,17,31,1,2,3,
89876,1,1,1,3,15,107,132,15,104,101,171,7,10,1,3,3,
37661,2,1,3,4,13,134,59,13,131,126,534,1,24,1,4,2,
95423,1,1,1,5,7,13,133,7,13,13,4080,1,1,1,5,2,
125337,2,1,3,3,5,27,1655,5,39,39,5229,11,30,1,4,5,
144813,2,1,3,3,11,470,59,11,461,357,1125,14,27,1,4,2,
148503,1,1,1,3,8,149,310,8,147,179,2053,3,9,1,2,3,
146132,2,1,2,1,8,206,65,8,203,196,1593,6,6,1,3,3,
120138,1,1,4,3,15,173,122,15,170,429,3532,1,1,1,5,3,
61955,1,1,3,3,11,381,19,11,446,349,1069,3,45,1,4,5,
121091,1,1,1,3,21,529,976,21,573,497,7043,3,9,6,3,3,
136939,2,1,1,4,16,100,89,16,96,94,3315,15,82,1,2,2,
29263,1,1,3,3,9,250,19,9,252,241,1335,11,79,1,3,3,
38355,1,1,3,3,12,97,176,12,57,23,3972,17,31,1,3,3,
53453,1,1,3,4,22,73,14,25,419,388,946,6,81,1,3,5,
15989,2,1,3,3,11,183,114,11,181,145,1429,3,3,6,2,2,
35281,1,1,1,3,22,138,136,25,135,341,2294,4,4,1,4,3,
19391,1,1,1,3,8,90,310,8,91,89,1167,3,9,1,4,3,
34831,2,1,3,3,13,306,84,13,106,292,498,17,31,18,2,5,
46240,1,1,3,3,12,97,67,12,57,23,114,1,1,1,4,2,
141187,2,1,4,1,15,107,54,15,104,101,274,6,55,2,2,2,
93162,2,1,3,1,5,262,38,5,265,256,456,3,9,1,2,3,
107136,2,1,3,3,2,422,221,2,369,336,905,3,9,1,3,5,
133332,2,1,3,4,15,96,432,15,93,429,5360,3,9,2,3,5,
104410,1,1,3,3,5,126,61,5,122,119,2392,4,7,6,2,3,
58231,1,1,1,4,16,472,123,16,463,156,1134,2,60,1,3,3,
23820,1,1,1,3,1,190,904,1,188,182,2572,1,1,1,6,2,
47889,2,1,3,1,11,578,135,11,270,260,407,6,55,1,2,3,
103243,2,1,3,3,12,161,476,12,174,201,1006,2,2,16,3,3,
25182,2,1,3,3,5,157,150,5,155,150,4372,3,9,2,3,3,
1202,1,1,4,4,20,266,59,20,238,107,963,17,31,1,5,3,
85016,2,1,3,3,20,266,200,20,238,107,2358,4,4,1,4,2,
74375,1,1,3,3,18,216,59,18,336,206,746,7,52,1,4,3,
30731,1,1,3,1,1,1,259,1,188,1,760,5,42,1,2,3,
145787,2,1,3,1,11,547,157,11,538,472,1926,3,9,1,4,5,
97104,1,1,3,3,11,21,147,11,21,452,6205,1,1,1,3,3,
64059,1,1,3,3,6,79,86,6,77,78,1987,17,31,1,3,2,
56803,2,1,3,3,8,106,243,8,102,99,403,10,105,1,3,2,
17072,2,1,3,4,8,318,11,8,247,237,832,3,39,1,3,4,
135964,1,1,4,3,5,409,45,5,405,373,855,1,24,1,3,3,
35446,2,1,1,3,5,66,82,5,65,67,2335,12,17,1,2,3,
1090,1,1,3,3,11,295,130,11,295,279,909,7,62,1,3,2,
89285,2,1,1,1,1,450,14,1,535,406,2406,3,45,1,2,3,
67430,2,1,1,3,11,244,59,11,246,408,1431,9,35,1,6,3,
42132,2,1,1,3,5,226,8,5,227,218,6617,6,6,1,3,3,
127517,1,1,1,5,7,366,45,7,281,225,2679,1,24,1,2,2,
96415,2,1,3,3,22,225,212,25,225,146,328,4,70,1,5,3,
139771,1,1,1,3,6,332,678,6,330,310,2118,3,9,1,5,3,
5494,1,1,3,1,4,437,637,4,5,322,2467,1,33,1,5,3,
35990,2,1,4,4,5,429,71,5,350,135,3220,3,9,1,3,3,
120480,1,1,4,1,24,463,38,23,508,453,1631,1,54,1,4,2,
5298,1,1,3,1,16,219,135,16,217,210,315,9,36,1,2,3,
101397,2,1,3,4,30,258,1481,30,303,286,5198,26,119,1,7,3,
49083,2,1,3,3,3,9,9,3,9,9,3162,10,14,3,2,2,
53402,2,1,1,3,5,187,11,8,275,60,421,4,4,1,2,2,
59229,1,1,4,3,6,83,654,6,81,192,4919,7,47,1,5,5,
116503,2,1,3,3,12,48,67,12,49,90,109,5,42,1,2,3,
91508,2,1,3,1,24,519,19,23,389,285,774,6,6,1,4,5,
39681,1,1,4,7,15,173,87,15,170,98,225,3,20,1,3,3,
85175,2,1,1,1,22,238,19,25,241,229,604,3,20,6,2,2,
51053,1,1,3,4,5,352,284,5,349,437,2171,6,6,6,3,3,
50338,1,1,1,3,24,167,38,23,165,159,218,4,4,1,3,2,
14622,1,1,4,3,22,138,136,25,135,341,2294,4,4,1,4,3,
111447,2,1,1,3,5,118,114,5,115,112,145,19,46,1,3,3,
10381,2,1,1,5,5,221,61,5,219,212,318,4,7,1,3,3,
30445,1,1,3,1,18,338,59,18,336,206,1368,1,24,1,4,2,
81822,1,1,1,3,3,278,280,3,276,35,504,4,7,1,2,3,
120403,1,1,3,1,14,241,481,14,243,233,2264,1,1,1,4,2,
69527,2,1,1,3,9,18,38,9,18,18,996,5,48,1,3,3,
36554,2,1,3,1,15,207,1122,3,6,6,3307,15,32,1,2,3,
147663,1,1,3,3,15,254,232,15,257,248,382,6,6,1,3,3,
37302,2,1,2,4,6,140,668,6,137,133,2237,3,9,1,4,3,
145528,1,1,1,3,8,315,1018,8,78,79,2866,4,7,1,3,2,
94228,1,1,4,1,23,248,84,22,251,239,369,4,7,1,3,2,
5141,1,1,3,1,11,490,157,11,482,431,2771,5,42,1,3,2,
11151,2,1,3,3,11,141,59,11,138,134,179,9,156,1,3,3,
63939,2,1,4,3,3,278,252,3,276,35,888,14,145,1,3,2,
121409,2,1,3,3,17,54,333,17,230,65,2123,3,9,2,4,3,
103207,2,1,1,3,21,458,156,21,452,411,1504,14,137,9,3,2,
49043,1,1,3,4,3,35,280,3,35,35,3691,7,11,1,2,2,
44812,1,1,4,1,5,294,1059,5,279,266,3046,6,6,1,3,2,
72917,1,1,3,3,4,420,19,4,352,328,624,6,41,1,3,3,
32075,1,1,1,3,1,190,212,1,188,182,2732,7,10,1,3,3,
115910,2,1,1,3,1,14,255,1,14,123,1199,3,9,1,3,5,
36129,1,1,1,3,11,95,43,11,92,92,3429,5,5,1,3,2,
100809,1,1,3,3,9,77,2334,9,75,331,7598,1,1,1,3,2,
147783,1,1,3,1,20,533,538,20,525,161,1467,16,178,1,3,3,
110734,2,1,3,3,5,193,2295,5,367,342,7458,3,45,1,3,5,
44329,2,1,3,3,15,173,266,15,170,98,463,9,43,1,2,3,
24871,1,1,1,1,5,31,30,5,31,31,31,1,59,1,4,3,
140432,2,1,3,3,12,172,157,12,174,201,581,5,66,1,3,3,
137514,1,1,1,3,1,182,14,1,484,73,1353,6,41,1,3,5,
116698,2,1,3,3,8,318,11,8,319,301,524,3,39,1,4,5,
20588,1,1,3,3,11,431,944,11,604,273,2580,4,7,6,4,3,
5783,2,1,1,3,25,117,113,24,114,111,144,12,100,1,6,2,
71587,2,1,3,5,9,70,19,9,69,70,337,3,9,1,2,3,
89652,1,1,1,3,5,359,408,5,359,333,810,3,9,1,3,2,
91161,2,1,1,4,21,63,846,21,62,63,2198,3,9,1,3,3,
104444,1,1,3,3,12,267,9,12,268,48,5679,6,6,1,3,2,
76873,2,2,1,3,5,495,293,5,255,247,1726,13,85,1,3,2,
28246,1,1,3,3,19,390,270,19,385,356,2340,1,1,1,4,3,
103277,1,1,1,7,15,314,519,15,317,268,1129,7,52,1,3,2,
62053,1,1,1,3,6,8,33,6,8,8,2830,5,42,1,4,3,
91816,2,1,1,3,5,226,59,5,227,218,330,2,2,1,3,3,
34429,2,1,1,1,21,63,142,21,62,63,3901,6,55,1,2,2,
84485,1,1,3,3,15,223,206,15,221,214,320,1,1,1,4,2,
13253,1,1,1,3,18,441,150,18,539,398,3258,1,24,1,6,2,
85103,1,1,3,4,6,140,117,6,137,133,3580,1,1,1,7,2,
14940,2,1,3,3,12,161,973,12,174,201,2692,5,5,1,4,3,
49979,2,1,3,3,5,157,780,5,155,150,1993,9,76,1,3,3,
139536,2,1,1,3,14,200,219,14,196,189,4182,2,2,1,4,3,
10346,1,1,1,3,5,7,1321,5,7,7,4059,7,47,1,2,3,
124180,1,1,3,3,5,365,341,5,364,375,1374,1,1,1,4,3,
21415,1,1,2,3,13,123,59,13,119,116,1392,9,21,1,3,5,
12861,2,1,1,3,3,78,52,3,76,6,544,3,9,1,4,5,
48978,2,1,1,3,11,383,219,11,377,351,4366,3,9,1,3,3,
21159,2,1,3,3,15,207,44,3,41,54,58,3,19,12,4,3,
57924,1,1,3,4,3,62,59,3,167,3,557,7,10,1,4,3,
55221,2,1,3,3,7,597,30,7,590,232,2393,3,38,6,2,2,
37491,2,1,3,3,6,83,86,6,81,192,3079,3,38,14,2,2,
19010,2,1,1,5,3,133,74,3,90,64,4789,6,6,1,3,2,
112499,2,1,4,3,6,131,291,6,128,50,539,3,9,1,2,3,
33093,2,1,1,3,4,347,1396,4,413,382,6308,14,23,6,4,2,
9064,2,1,3,3,22,138,1060,25,116,341,3051,5,66,1,3,3,
8534,2,1,3,3,5,187,11,5,190,334,907,4,4,1,4,5,
45814,1,1,1,3,1,72,136,1,198,72,3446,4,4,1,3,3,
11707,1,1,3,4,3,158,106,3,280,41,3500,5,5,1,2,3,
54472,2,1,4,3,13,34,246,13,34,103,410,3,45,1,3,2,
116446,1,1,1,3,22,154,136,25,152,147,1238,4,4,1,3,2,
5416,2,1,1,3,6,8,1015,6,8,8,2861,10,25,1,1,2,
130427,2,1,3,3,1,72,255,1,14,123,1199,3,45,1,2,3,
25249,1,1,3,4,8,318,11,8,319,301,524,11,30,6,3,5,
24196,1,1,3,3,6,79,1778,6,77,78,5750,3,9,1,4,3,
14033,1,1,4,7,15,263,496,15,260,251,1401,1,1,8,3,3,
2417,1,1,3,7,15,344,444,15,395,280,1672,1,1,1,5,2,
622,2,1,4,1,11,328,95,11,246,236,560,11,30,2,4,6,
18924,1,1,1,3,18,288,142,18,426,263,968,1,1,6,7,2,
54133,2,1,3,3,3,69,3,3,68,4,5500,2,15,1,2,2,
78604,1,1,3,3,5,115,562,5,112,442,6373,7,47,1,6,5,
45634,1,1,3,3,11,86,219,11,84,351,4441,3,9,1,2,3,
122467,2,1,1,3,5,346,341,5,344,321,5636,9,13,2,3,3,
710,1,1,1,5,16,355,327,16,354,329,628,5,77,1,3,3,
27495,2,1,3,3,14,548,45,14,455,414,5971,18,37,1,2,2,
63637,2,1,1,3,6,104,33,6,8,8,123,4,7,1,3,2,
7045,1,1,1,1,1,114,222,1,622,231,2996,5,22,1,4,3,
27107,2,1,4,4,5,56,188,5,103,191,2331,3,9,1,3,3,
134218,2,1,3,3,6,12,33,6,12,12,3430,9,36,1,4,3,
124164,1,1,3,3,20,266,1183,20,238,107,3531,7,11,1,6,2,
91901,2,1,2,5,20,648,142,20,654,528,4349,4,70,1,2,3,
97335,2,1,4,3,1,114,259,1,188,182,445,5,5,1,3,2,
75381,2,1,3,3,12,172,59,12,158,48,399,17,131,1,4,3,
105946,1,1,3,1,4,53,5,4,462,416,2462,1,24,1,3,6,
27978,2,1,1,5,6,561,71,6,551,310,76,3,19,5,3,2,
36466,1,1,3,1,9,147,388,9,145,140,1412,5,22,1,2,3,
121308,1,1,1,1,5,115,67,5,112,109,141,5,42,1,3,3,
146136,1,1,1,3,6,8,1589,6,8,8,4976,12,17,1,3,2,
82622,1,1,3,3,14,594,45,14,585,424,3422,11,30,2,4,5,
123135,2,1,3,3,3,357,1062,3,357,35,3053,4,7,1,4,3,
8927,1,1,3,3,6,330,1250,6,189,8,3778,3,9,1,4,5,
110321,2,1,4,3,9,18,162,9,18,18,869,12,17,1,4,5,
5947,1,1,1,3,1,14,72,1,64,66,1725,7,10,1,4,2,
39053,2,1,1,1,11,356,135,11,270,260,407,25,73,2,3,5,
101025,1,1,1,1,16,334,135,16,333,255,1878,17,75,1,2,3,
114635,1,1,4,3,8,318,37,8,319,301,3335,9,43,1,4,2,
97305,1,1,3,3,3,69,559,12,268,48,1258,1,1,8,5,5,
14922,1,1,3,3,3,133,74,3,90,64,4789,7,10,1,3,2,
99979,2,1,1,1,5,187,332,5,185,178,2258,3,39,1,2,3,
133205,2,1,1,1,11,440,59,11,433,397,1043,3,20,1,2,3,
104339,2,1,2,1,14,46,428,14,436,400,863,4,70,1,2,2,
58878,1,1,4,6,9,518,38,9,557,487,1896,2,2,1,3,3,
9463,2,1,1,3,8,276,49,8,269,258,423,9,76,1,3,3,
15364,1,1,1,3,5,294,283,5,279,266,2547,1,24,1,4,5,
93006,1,1,2,3,6,83,63,6,81,192,1702,6,6,1,4,2,
49774,2,1,1,3,9,292,73,9,292,277,1977,9,13,1,3,2,
81027,1,1,1,3,5,435,11,5,424,390,964,11,30,1,3,5,
28316,1,1,2,1,17,503,135,17,510,454,1488,17,75,3,5,5,
17335,2,1,3,3,13,84,59,13,82,82,98,17,31,1,3,3,
145408,2,1,1,1,6,22,99,6,263,254,1784,12,17,1,2,3,
34431,2,1,4,4,9,277,658,9,429,393,1591,11,79,1,3,3,
25470,2,1,4,4,15,254,480,15,257,248,5838,4,4,1,3,2,
116755,1,1,1,3,4,413,378,4,409,378,6412,1,24,1,3,3,
21074,2,1,1,4,5,294,61,5,279,266,125,5,22,1,3,3,
15738,2,1,4,1,6,145,99,6,143,139,187,12,17,1,2,3,
131436,2,1,1,3,22,439,860,25,432,396,5040,4,4,1,3,3,
17690,1,1,2,1,25,224,674,24,224,198,5154,31,174,1,2,3,
48576,2,1,3,3,7,571,45,7,561,232,5962,9,35,1,3,5,
85465,2,1,3,1,15,223,67,19,296,93,141,5,42,1,2,3,
53351,2,1,3,3,21,491,99,21,483,432,1261,5,5,1,3,2,
124390,2,1,3,5,13,579,59,13,570,495,2154,25,73,1,4,5,
68009,2,1,2,3,18,288,142,18,426,263,968,12,17,11,3,5,
106650,2,1,1,3,6,140,613,6,137,246,1416,3,39,1,3,3,
101966,2,1,1,1,5,435,843,5,424,390,2195,15,139,1,1,3,
37142,1,1,3,3,17,54,45,18,370,299,5259,6,6,1,4,6,
52987,1,1,3,4,11,141,59,11,138,134,179,7,10,1,3,3,
140057,2,1,3,5,9,453,73,9,448,409,1074,3,9,1,4,3,
8550,2,1,4,1,3,35,280,3,35,35,3691,6,6,1,2,3,
16807,1,1,1,3,8,287,260,8,286,179,2784,1,24,1,4,2,
45827,2,1,4,7,15,195,842,15,192,186,3331,9,36,1,3,3,
65693,1,1,1,3,8,407,783,8,16,16,3153,1,1,1,3,3,
24302,2,1,4,1,5,115,396,5,112,442,779,15,82,10,2,2,
48944,2,1,3,1,12,30,67,12,381,30,141,3,3,1,2,2,
123460,2,1,4,3,5,262,38,5,265,256,456,5,80,1,3,3,
115817,2,1,3,3,14,51,54,14,52,52,56,9,36,1,3,3,
45985,1,1,1,3,8,15,38,8,15,15,941,3,38,1,2,2,
105589,2,1,3,3,20,266,45,20,238,107,347,11,30,2,4,5,
10630,1,1,3,3,22,174,136,25,248,238,364,4,4,1,4,3,
41009,2,1,3,3,11,93,45,11,498,449,1413,1,24,1,4,3,
95687,2,1,1,3,18,216,59,18,336,206,3688,4,4,1,3,5,
60457,1,1,3,5,20,227,156,20,228,174,331,4,7,9,3,3,
94030,2,1,1,3,8,300,397,8,301,89,1622,25,73,1,4,5,
40634,2,1,4,3,14,51,26,14,52,52,1466,4,4,14,1,5,
38346,1,1,3,1,15,223,232,19,296,93,3654,19,104,1,2,2,
11838,2,1,3,3,16,261,142,16,431,395,1648,3,20,1,6,2,
114973,2,1,4,3,1,114,136,1,111,231,1863,5,5,1,3,3,
14312,1,1,3,1,9,218,38,9,216,291,497,2,74,1,3,2,
149473,1,1,1,3,4,37,282,4,37,37,4221,9,43,1,3,3,
103952,1,1,1,3,16,355,34,16,354,329,1875,6,6,6,3,3,
57784,1,1,1,3,5,101,495,5,190,334,5930,8,183,9,3,3,
78100,2,1,1,1,20,170,374,20,168,161,726,2,2,1,5,3,
