,Gender,TypeofDisability,castecategory,Religion,Candidate State,Candidate District,PartnerName,TC State,TC District,TC Constituency,TC Name,SectorName,JobRole,TotalCandidatesinBatch,Result,Certified,agegroup,EducationLevel,placed
123513,1,1,1,3,3,133,283,3,90,64,2266,1,1,1,1,1,4,2,
70896,1,1,3,1,30,258,637,30,303,286,4216,9,13,1,1,1,2,4,
97841,2,1,3,1,32,388,359,32,591,355,2396,15,82,1,1,1,3,3,
73747,2,1,3,3,4,347,707,4,345,488,2181,11,30,1,1,1,3,3,
76099,2,1,1,3,3,304,568,3,306,54,1281,4,7,1,1,1,3,2,
145771,2,1,2,3,1,114,45,1,198,72,3412,23,63,1,1,1,3,2,
143448,1,1,1,3,3,442,1041,3,4,4,2962,3,9,1,1,1,3,3,
117245,2,1,3,3,1,450,151,1,535,406,1705,5,42,1,1,1,3,3,
93092,1,1,1,3,21,146,68,21,144,124,4708,1,1,1,1,1,2,3,
103292,2,1,1,3,15,344,67,15,223,216,5104,3,9,1,1,1,2,3,
80661,2,1,1,1,11,356,135,11,355,330,2712,12,17,1,1,2,5,3,
121604,2,1,4,1,8,587,11,8,275,60,421,9,36,1,1,1,2,3,
105541,2,1,4,1,11,391,296,11,387,357,765,3,9,1,1,1,3,3,
2553,1,1,3,3,3,69,153,3,68,9,1741,15,32,1,1,1,2,2,
52720,2,1,3,1,8,449,409,8,443,16,4878,1,24,1,1,1,3,3,
100087,2,1,3,3,21,528,52,21,521,478,2357,2,110,1,1,1,6,2,
65760,2,1,3,5,13,26,87,13,26,481,1821,4,4,1,1,1,4,5,
127573,2,1,1,3,14,200,219,14,196,189,4182,2,2,1,1,1,3,3,
81839,2,1,3,4,12,192,124,12,171,48,1501,4,4,1,1,1,3,3,
36870,1,1,4,7,15,45,96,15,46,45,6483,1,1,1,1,1,3,3,
120142,1,1,1,3,4,185,178,4,183,176,254,31,173,1,1,1,6,2,
80808,2,1,1,3,3,304,568,3,306,54,1281,4,7,1,1,1,3,2,
78414,2,1,1,3,8,372,90,8,403,99,848,6,6,1,1,1,3,2,
78546,2,1,3,1,22,174,14,25,248,238,1270,6,41,1,1,1,2,3,
1729,1,1,3,3,4,420,5,4,413,382,5,7,47,1,1,1,4,6,
146643,1,1,4,7,15,45,496,15,46,45,4641,1,1,1,1,1,4,2,
130501,1,1,3,3,5,294,1434,5,279,266,4458,21,95,1,4,2,6,3,
130702,2,1,3,3,3,278,252,3,276,35,888,3,20,1,1,1,2,3,
100989,2,1,1,3,11,295,114,11,295,279,3327,3,39,2,3,2,2,2,
140021,1,1,1,1,5,43,328,5,44,75,629,17,31,1,1,1,2,2,
140561,1,1,1,1,8,36,38,8,36,15,892,5,48,1,1,1,2,3,
68995,2,1,3,3,5,171,67,5,39,162,223,5,5,1,1,1,4,3,
37093,1,1,3,3,18,251,335,18,253,242,1980,1,1,1,1,1,4,2,
55898,1,1,3,1,32,617,868,32,637,355,2276,28,148,1,1,1,4,3,
81637,1,1,1,3,5,171,408,5,39,39,6763,12,17,1,1,1,5,3,
100849,2,1,1,3,5,259,293,5,179,171,551,21,53,1,1,1,4,2,
71447,2,1,1,1,6,140,871,6,137,246,3852,9,35,1,1,1,1,2,
134988,1,1,3,1,3,357,87,3,357,35,1378,1,24,1,1,1,5,2,
109978,1,1,1,1,8,276,49,8,269,258,423,4,7,1,1,1,3,3,
8641,2,1,3,1,5,299,61,5,298,282,474,3,3,1,3,2,2,2,
102912,2,1,3,1,5,285,574,5,284,138,1295,5,22,1,1,1,2,3,
29676,2,4,1,3,5,365,577,5,190,334,1302,13,176,1,1,1,3,3,
84598,2,1,4,3,6,12,329,25,152,173,630,23,63,1,1,1,3,2,
115828,1,1,3,3,12,97,67,12,23,23,114,1,1,1,1,1,6,2,
36108,1,1,3,3,12,161,23,12,174,201,1117,8,215,1,1,1,5,3,
35601,1,1,1,1,16,261,142,16,431,395,1648,3,20,1,1,1,3,3,
46633,1,1,3,5,20,543,460,20,61,62,2184,9,76,1,1,1,3,5,
123545,1,1,4,3,1,190,255,1,188,1,4164,1,1,1,3,2,4,2,
99562,1,1,2,1,8,91,1680,8,89,275,5361,5,5,1,1,1,3,3,
95688,1,1,2,1,18,288,142,18,426,263,968,12,17,6,2,2,2,3,
146052,2,1,3,1,13,122,59,13,118,115,150,9,35,1,1,1,2,3,
57645,1,1,3,1,3,9,49,3,120,230,2688,9,21,1,1,1,3,3,
122293,2,1,3,1,23,248,84,22,251,239,369,17,31,1,1,1,2,2,
122063,1,1,1,3,4,185,178,4,183,176,254,1,1,1,1,1,5,3,
62848,2,1,3,3,24,323,19,23,324,370,1340,3,9,1,1,1,3,5,
139374,1,1,1,5,5,213,61,5,210,203,302,4,7,1,1,1,4,3,
141280,1,1,1,3,5,496,874,5,488,437,2311,1,24,1,1,1,3,3,
30705,2,1,1,3,1,114,222,1,111,231,355,5,42,1,1,1,3,2,
72794,2,1,1,3,4,312,1237,4,313,297,3721,3,3,9,4,2,4,5,
11193,1,1,3,1,30,258,637,30,303,286,4216,4,4,1,1,1,2,4,
114933,1,1,3,3,6,140,17,6,137,133,1512,21,95,6,3,2,4,3,
138955,1,1,1,3,3,278,280,3,276,35,504,4,7,1,1,1,4,3,
86744,1,1,1,3,18,251,123,18,253,242,801,1,59,1,1,1,3,2,
7854,1,1,3,7,15,105,961,15,100,98,2647,7,52,1,3,2,4,3,
21688,2,1,2,3,23,481,791,22,568,494,2019,5,42,1,1,1,3,3,
53675,1,1,1,1,5,157,11,5,155,150,202,9,36,1,1,1,4,3,
35297,2,1,1,3,3,41,1376,3,41,41,4265,3,9,1,1,1,2,3,
1191,2,1,3,1,24,111,38,23,108,105,976,2,74,1,1,1,2,3,
34064,1,1,1,3,6,140,43,6,137,246,4551,1,1,1,1,1,3,2,
122432,2,1,1,3,14,196,54,14,193,187,266,9,36,1,1,1,4,3,
80915,1,1,3,1,13,163,59,13,160,155,212,4,4,1,4,2,2,5,
133248,1,1,1,3,9,18,19,9,18,18,1114,3,9,1,1,1,4,5,
39918,2,1,4,3,11,350,54,11,347,323,1436,5,77,1,1,1,5,2,
15643,2,1,1,3,5,213,61,5,210,203,302,3,44,1,1,1,3,2,
14812,2,1,1,3,5,352,45,5,349,326,619,9,35,1,1,1,3,3,
81187,1,1,3,3,3,78,501,3,76,6,5902,3,9,9,1,1,4,5,
134372,1,1,2,3,17,540,74,17,533,470,1679,1,1,1,1,1,3,2,
139093,2,1,3,1,5,495,396,5,255,247,779,18,88,1,1,1,2,2,
119885,2,1,3,7,15,207,219,15,239,186,3145,3,9,7,1,1,3,3,
65527,2,1,1,1,6,191,99,6,565,207,1975,3,20,6,1,1,2,2,
144027,1,1,1,1,33,656,1531,33,616,350,4752,7,62,1,1,1,2,3,
71321,1,1,1,3,18,581,123,18,524,364,2106,1,59,1,1,1,3,2,
104161,2,1,3,3,12,97,67,12,23,23,72,3,9,1,4,2,4,3,
42214,1,1,1,3,1,65,19,1,64,114,3381,11,142,16,3,2,3,5,
86888,2,1,1,3,6,8,165,6,8,8,6447,3,9,1,1,1,3,2,
37397,2,1,3,3,5,43,81,5,343,320,912,3,9,5,1,1,3,3,
93885,2,1,3,1,5,247,64,5,156,151,205,3,19,1,1,1,2,2,
141655,2,1,3,1,11,244,1347,11,246,236,4143,4,4,1,1,1,2,3,
73461,2,1,3,3,13,122,1045,13,118,197,2992,4,4,1,1,1,3,2,
71077,2,1,1,3,22,238,19,25,241,229,604,3,20,1,1,1,2,5,
21184,2,1,3,3,5,345,1634,5,343,320,5145,3,9,1,2,2,2,2,
14321,2,1,1,3,5,109,1518,5,107,104,4713,4,4,1,1,1,3,3,
6405,1,1,1,3,9,518,24,9,18,18,3167,31,174,1,1,1,3,3,
24616,1,1,4,3,13,26,74,13,26,481,4926,6,6,1,1,1,4,3,
145862,2,1,1,3,11,370,21,11,300,284,2167,19,101,1,1,1,2,3,
100188,1,1,4,3,13,26,87,13,26,261,570,6,55,1,3,2,2,3,
116740,2,1,3,4,8,74,404,8,72,74,1496,4,4,14,1,1,3,3,
25903,2,1,1,1,11,328,203,5,343,320,5095,4,70,1,2,2,2,2,
105686,1,1,3,3,13,189,796,13,82,115,2030,3,39,1,1,1,3,4,
68825,2,1,1,3,6,8,2246,6,8,8,7288,3,9,1,1,1,3,3,
129233,1,1,1,3,8,149,296,8,147,142,559,1,1,1,4,2,3,2,
133343,1,1,3,5,12,23,1512,12,23,58,4690,1,1,1,1,1,3,3,
122333,2,1,3,4,3,41,36,3,41,35,2436,3,9,5,1,1,5,3,
91792,1,1,1,3,4,404,655,4,401,504,7538,17,31,1,1,1,3,3,
4847,2,1,1,3,6,140,12,6,137,246,2664,3,9,3,1,1,2,3,
27731,1,1,3,3,5,365,11,5,364,346,718,1,1,1,1,1,3,5,
39852,2,1,4,1,5,157,11,5,155,150,202,4,4,1,4,2,2,2,
140185,2,1,4,3,3,411,37,3,280,41,1628,26,119,1,1,1,4,3,
40746,1,1,3,3,3,9,1577,3,9,9,4931,1,1,1,1,1,7,2,
120212,2,1,1,3,1,182,14,1,484,73,1353,3,9,6,3,2,3,3,
106933,2,1,3,3,24,486,290,23,146,141,3397,3,45,1,1,1,4,5,
38565,1,1,3,3,1,65,255,1,14,123,1203,4,7,1,1,1,3,2,
143207,1,1,1,3,14,200,725,14,196,189,1824,16,29,1,1,1,6,2,
133885,2,1,1,1,6,22,45,6,22,22,1611,12,17,1,1,1,3,2,
2977,1,1,1,1,5,213,61,5,210,203,302,1,33,1,1,1,3,3,
29564,2,1,3,3,5,56,386,5,103,203,2213,3,19,1,1,1,3,3,
84185,2,1,1,3,8,300,1135,8,301,89,3358,4,7,6,1,1,3,2,
46177,2,1,4,1,6,10,30,6,10,10,2061,17,96,1,1,1,2,3,
3849,2,1,3,5,20,533,872,20,525,161,2304,9,35,1,1,1,3,3,
117631,2,1,3,1,5,346,11,5,344,321,1185,3,39,1,3,2,3,5,
124246,1,1,3,3,5,294,567,5,279,266,5727,3,9,1,1,1,5,3,
109018,2,1,3,3,23,403,84,22,400,368,831,21,53,12,1,1,2,2,
122549,2,1,3,3,5,180,45,5,402,371,955,11,30,1,1,1,3,5,
44614,2,1,3,5,9,147,61,9,145,140,1390,19,46,1,2,2,4,3,
62995,1,1,3,1,21,620,142,21,619,503,4954,1,59,1,1,1,2,3,
98051,2,1,2,3,8,91,262,8,89,275,4761,12,17,1,1,1,5,3,
142981,2,1,3,3,8,407,364,8,16,16,705,11,30,7,1,1,3,3,
120093,1,1,3,3,12,97,132,12,57,23,171,1,1,1,1,1,6,3,
102439,1,1,1,3,5,120,836,5,117,91,6827,17,31,1,1,1,3,2,
26229,2,1,3,3,11,328,54,11,464,482,2811,10,56,1,1,1,3,2,
79340,2,1,1,3,5,101,36,5,190,334,4003,10,25,1,1,1,1,2,
130379,2,1,3,3,5,42,465,5,43,42,979,10,14,1,1,1,5,3,
65726,2,1,2,1,8,488,34,8,479,354,2530,12,17,1,3,2,3,3,
96804,1,1,1,1,11,559,30,11,550,482,1836,5,42,1,1,1,3,3,
55918,2,1,1,5,5,409,1100,5,405,109,5617,6,6,2,1,1,3,2,
30644,2,1,1,3,5,496,1535,5,7,437,4874,3,9,8,1,1,3,3,
104031,1,1,1,3,5,171,341,5,39,256,7620,17,31,1,1,1,2,3,
30653,2,1,3,3,4,351,546,4,348,353,1219,11,30,1,1,1,2,5,
32304,1,1,3,3,4,420,5,4,413,382,5,7,47,1,1,1,4,5,
112148,2,1,1,3,22,174,136,25,248,307,1803,3,9,17,1,1,4,3,
113423,1,1,1,5,5,58,73,5,58,59,798,1,1,1,1,1,4,2,
120281,2,1,1,3,11,244,59,11,246,408,1431,2,2,1,1,1,2,3,
80443,2,1,1,1,21,457,87,21,95,83,117,4,7,1,1,1,3,3,
30499,1,1,3,1,3,124,13,3,120,230,2439,1,1,8,1,1,1,2,
69197,1,1,3,1,8,477,65,8,403,423,1209,6,41,1,1,1,2,3,
120554,2,1,1,1,6,22,778,6,22,22,1989,5,80,1,1,1,3,2,
77862,2,1,2,3,9,162,383,9,429,393,980,3,3,6,2,2,3,4,
143772,1,1,3,5,4,132,346,4,129,125,662,4,4,1,3,2,4,5,
35222,2,1,3,4,3,35,787,3,35,35,2003,3,20,2,1,1,2,2,
75731,2,1,3,1,3,52,4,3,130,64,425,4,70,1,2,2,3,2,
120365,1,1,1,1,4,273,994,4,273,264,2786,30,179,1,1,1,4,5,
101293,2,1,1,3,1,190,2256,1,64,114,7332,9,130,1,4,2,3,5,
93042,2,1,4,3,5,345,1069,5,343,320,3088,3,39,1,1,1,2,2,
28932,2,1,1,1,4,363,38,4,362,337,2529,2,74,1,1,1,4,3,
23820,1,1,1,3,1,190,904,1,188,182,2572,1,1,1,1,1,6,2,
144888,2,1,3,3,3,133,2132,3,90,64,6930,17,31,1,1,1,3,3,
127784,2,1,1,1,3,133,651,3,130,64,6339,14,122,1,1,1,3,3,
106235,1,1,3,3,5,483,11,5,226,217,329,11,69,1,1,1,3,5,
108749,2,1,3,5,5,299,61,5,298,282,474,3,44,2,1,1,2,3,
1189,2,1,3,3,20,266,458,20,238,107,953,4,7,1,1,1,2,2,
44524,1,1,1,3,6,8,33,6,8,8,5696,4,7,6,1,1,3,5,
85664,2,1,1,3,11,256,64,11,259,250,1788,3,19,1,1,1,3,5,
135621,1,1,1,3,8,205,87,8,502,33,2499,25,73,1,3,2,3,5,
4333,2,1,1,3,22,154,136,25,152,147,1238,3,9,1,1,1,3,3,
15734,1,1,3,3,3,69,3,3,68,4,82,1,1,1,1,1,5,2,
117557,1,1,4,4,15,107,104,15,104,101,130,3,45,1,1,1,3,3,
57903,2,1,1,3,5,43,81,5,44,43,2976,15,82,1,1,1,3,3,
141542,1,1,1,4,6,47,10,6,208,202,298,3,9,1,1,1,2,4,
18264,1,1,4,3,12,48,45,12,171,48,957,17,31,1,1,1,4,5,
2023,1,1,3,1,20,354,444,20,353,107,911,1,8,1,1,1,6,2,
107599,2,1,3,1,21,384,87,21,378,352,740,5,66,1,4,2,3,3,
86675,1,1,4,3,4,312,1237,4,313,297,3721,4,70,10,2,2,4,3,
111988,2,1,3,4,3,158,87,3,280,41,1018,6,55,1,1,1,4,3,
145816,1,1,1,3,6,260,99,6,263,254,1784,5,5,1,1,1,4,2,
122186,2,1,4,3,13,122,53,13,118,115,1683,3,9,1,1,1,3,5,
89343,1,1,3,5,14,324,45,14,393,362,1108,1,24,1,4,2,3,2,
67038,1,1,3,3,4,143,140,4,294,328,1063,1,24,1,1,1,4,2,
38598,1,1,3,3,3,69,480,3,68,4,6555,3,9,1,1,1,2,3,
94907,2,1,1,3,6,12,4,6,8,8,5756,23,63,6,1,1,2,2,
84383,1,1,3,3,15,45,345,15,46,45,3808,1,1,1,1,1,2,2,
20203,1,1,4,3,6,22,86,6,81,192,709,3,3,1,1,1,4,2,
5925,1,1,3,3,12,23,23,12,169,23,3020,1,1,1,1,1,3,3,
52285,2,1,3,4,22,174,14,25,248,307,1306,11,79,3,3,2,3,3,
31289,2,1,3,5,17,246,694,17,249,68,906,9,43,6,1,1,2,2,
128393,1,1,1,1,8,622,194,8,623,354,2971,1,1,1,1,1,1,2,
77575,2,1,1,1,5,281,574,5,278,265,1295,9,35,1,1,1,2,2,
106611,2,1,4,7,15,207,219,15,239,280,2424,3,45,1,1,1,3,3,
148143,2,1,1,3,17,303,135,17,305,288,1724,6,55,1,3,2,2,3,
52877,2,1,1,3,5,337,182,5,190,334,838,3,9,12,1,1,3,3,
87222,2,1,3,1,6,79,61,6,77,78,473,4,70,1,1,1,2,3,
33393,1,1,3,1,11,399,59,11,560,102,1923,9,35,1,1,2,2,2,
87858,1,1,4,3,19,509,168,19,175,61,234,17,160,1,1,1,2,3,
96837,2,1,1,5,13,84,59,13,187,82,365,3,9,1,1,1,3,3,
129594,2,1,3,3,14,311,373,14,312,348,725,4,7,8,1,1,2,2,
94630,1,1,4,3,3,78,9,3,76,6,7559,1,1,1,1,1,3,2,
140712,2,1,1,1,18,375,59,18,515,122,1524,14,27,12,1,1,2,5,
91536,2,1,4,3,22,153,149,25,151,146,197,23,63,8,1,1,7,2,
70259,1,1,1,1,8,106,310,8,102,99,6871,3,9,1,1,1,3,3,
121344,1,1,1,3,8,315,65,8,209,157,516,17,75,1,1,1,3,3,
30243,2,1,1,3,6,8,33,6,8,8,3132,9,21,1,1,1,3,3,
99029,1,1,4,5,6,25,139,6,25,50,3155,7,11,3,1,1,3,2,
43260,1,1,3,3,12,23,1050,12,174,201,3005,2,74,1,1,1,2,3,
22471,2,1,3,1,11,103,830,11,99,97,2155,6,6,1,1,1,2,3,
102246,2,1,1,3,13,50,87,13,51,194,284,12,17,1,1,1,4,3,
59477,1,1,3,5,5,43,176,5,44,43,252,7,47,1,1,1,3,2,
31036,1,1,3,1,29,257,1559,29,610,252,4864,3,20,1,3,2,1,2,
109479,2,1,2,3,8,230,208,8,233,88,2452,3,45,1,3,2,2,2,
105530,1,1,3,3,18,313,142,18,370,299,1053,2,68,1,4,2,5,2,
87978,2,1,4,6,9,77,1847,9,75,154,6011,11,16,1,1,1,3,5,
56430,2,1,1,1,5,75,61,5,73,75,89,5,22,1,3,2,2,2,
25198,1,1,3,3,18,338,534,18,336,206,1177,3,45,2,3,2,3,3,
69471,1,1,3,7,20,266,59,20,238,107,963,17,31,1,1,1,3,3,
18495,1,1,3,3,4,420,5,4,413,382,5,1,1,1,1,1,3,5,
117086,2,1,3,3,17,54,518,17,230,65,1128,3,9,1,1,1,2,3,
6715,2,1,3,1,19,582,237,19,574,300,388,15,58,1,2,2,2,2,
91109,1,1,4,4,4,273,251,4,273,264,419,10,25,1,1,1,5,2,
17837,2,1,1,3,6,561,61,6,551,310,1838,24,67,1,3,2,3,3,
67465,2,1,1,3,5,157,37,5,155,150,3652,20,51,1,4,2,3,4,
6751,2,1,1,3,4,132,377,4,129,125,2179,3,20,1,1,1,6,3,
34867,1,1,1,1,5,435,11,5,424,390,964,1,1,1,1,1,2,2,
69026,2,1,3,1,5,271,61,5,219,43,702,1,33,1,1,1,3,3,
119329,2,1,1,4,6,22,654,6,22,22,2731,3,9,1,1,1,3,3,
119389,1,1,1,7,15,96,590,15,93,45,1859,3,9,1,1,1,2,2,
12552,2,1,3,3,14,311,26,14,312,348,1735,10,25,1,1,1,3,2,
101499,2,1,3,3,3,9,153,3,68,9,1741,3,3,1,1,1,4,3,
143748,2,1,3,3,14,200,418,14,196,189,839,11,30,2,1,1,3,5,
55369,1,1,3,1,9,86,61,9,84,117,166,8,28,16,1,1,5,2,
30433,2,1,1,3,18,125,59,18,494,118,1379,4,4,1,3,2,3,5,
56538,2,1,4,3,5,180,45,5,402,371,955,11,30,1,1,1,3,5,
69963,1,1,1,1,8,622,194,8,623,354,2971,1,1,1,1,1,2,2,
43776,2,1,3,4,5,126,106,5,122,119,2742,24,67,1,1,1,2,2,
96472,2,1,1,7,15,96,1948,15,93,45,6323,4,7,1,2,2,3,3,
95778,1,1,2,3,17,591,666,17,54,55,1617,5,42,1,1,1,4,5,
138018,2,1,3,1,8,595,34,8,587,36,2315,12,17,1,3,2,3,3,
9106,2,1,4,1,5,58,64,5,58,59,68,3,38,2,1,1,2,3,
108154,2,1,1,5,1,280,45,1,341,317,1162,14,137,1,1,1,3,5,
49133,2,1,3,1,8,90,141,8,88,87,2208,15,58,1,1,1,2,3,
102751,2,1,1,1,9,386,38,9,38,38,39,2,74,1,1,1,2,3,
116562,2,1,4,3,11,470,19,11,377,351,997,11,30,1,1,1,4,5,
126461,1,1,3,1,11,356,135,11,355,330,2712,6,55,1,1,1,2,3,
27169,2,1,1,3,21,532,99,21,523,464,1596,12,17,1,1,1,3,3,
66913,2,1,4,1,5,358,45,5,358,363,782,12,17,1,1,1,1,3,
81273,2,1,1,5,24,111,38,23,108,105,976,5,80,1,1,1,3,3,
90995,2,1,3,3,3,52,132,3,53,53,171,5,5,1,1,1,3,3,
41039,1,1,1,4,6,8,258,6,8,8,5251,7,10,1,1,1,4,2,
5448,1,1,3,3,8,245,45,8,247,237,2870,9,35,1,1,1,3,3,
40887,1,1,3,3,6,140,1202,6,137,22,3667,9,35,1,1,1,4,2,
11131,2,1,1,1,5,144,119,5,142,138,3975,4,4,6,3,2,2,3,
59251,1,1,3,4,9,292,1119,9,292,277,6537,5,42,1,2,2,4,2,
92418,2,1,1,3,1,114,45,1,111,108,366,12,17,8,1,1,2,2,
87989,1,1,1,3,17,137,135,17,540,129,2721,6,55,12,3,2,2,3,
81252,2,1,3,1,18,338,59,18,336,206,1368,3,9,6,4,2,3,3,
4779,1,1,1,3,5,43,61,5,44,43,125,3,9,1,1,1,3,3,
34652,2,1,1,3,22,138,212,25,135,341,2188,3,9,2,3,2,2,3,
29889,2,2,3,3,17,137,469,3,90,64,1284,13,85,1,1,1,3,2,
10906,2,1,3,1,11,530,343,11,522,463,2782,5,42,1,1,1,3,4,
133344,1,1,4,3,9,232,19,9,299,283,476,6,81,2,3,2,3,5,
13362,2,1,3,4,8,418,265,8,556,143,817,12,17,6,1,1,2,2,
82620,2,2,1,3,5,495,293,5,255,247,1726,13,85,1,1,1,6,2,
123235,1,1,1,1,18,331,214,18,329,242,5670,3,45,1,3,2,4,3,
86564,1,1,3,3,12,23,67,12,174,23,114,5,5,1,1,1,3,3,
112964,1,1,1,3,4,456,296,4,505,337,1456,1,1,1,1,1,4,5,
109522,2,1,3,3,12,23,124,12,23,23,158,4,4,1,1,1,3,3,
111097,2,1,3,1,15,556,30,15,548,268,1831,7,62,1,2,2,2,2,
41942,2,1,3,3,21,63,2041,21,62,63,6661,6,6,1,3,2,2,3,
26321,1,1,1,5,24,393,225,23,389,141,1298,17,72,8,1,1,3,2,
93451,1,1,2,2,32,364,142,32,363,338,682,1,24,1,1,1,4,2,
29611,2,1,3,3,3,69,3,3,68,4,5674,15,32,1,1,1,3,2,
20689,1,1,1,5,13,26,26,13,26,26,26,10,65,1,1,1,6,2,
102562,1,1,3,1,2,563,353,2,328,336,677,2,106,1,4,2,1,3,
147763,1,1,3,4,12,172,219,12,169,163,4272,3,9,2,4,2,2,3,
142152,2,1,3,1,20,266,45,20,238,107,347,2,2,8,1,1,3,2,
50758,1,1,3,3,14,51,54,14,52,52,56,8,12,1,1,1,3,3,
68158,2,1,4,3,5,249,73,5,307,289,1549,3,9,1,1,1,6,3,
149098,2,1,3,1,8,16,34,8,91,89,108,6,6,1,4,2,5,3,
131560,2,1,1,3,1,190,136,1,188,182,5568,5,66,1,1,1,3,3,
104407,2,1,1,3,6,104,87,6,382,25,1116,6,41,1,1,1,4,3,
10374,2,1,3,3,6,83,329,25,152,173,630,23,63,1,3,2,4,2,
112681,1,1,1,3,16,49,51,16,50,49,53,5,42,1,1,1,3,3,
64128,1,1,1,1,24,111,38,23,108,105,976,3,38,1,3,2,2,2,
111542,1,1,3,3,11,295,130,11,295,279,468,1,1,1,1,1,1,2,
111791,2,1,1,3,6,212,234,6,208,202,5043,5,5,1,3,2,3,3,
60194,2,1,2,3,1,65,255,1,14,123,1199,4,7,1,1,1,2,5,
140643,1,1,3,3,3,41,44,3,41,54,58,6,6,1,1,1,3,3,
10965,2,1,1,3,5,554,11,5,289,274,453,11,30,1,1,1,3,5,
118319,2,1,1,1,5,58,64,5,58,59,68,9,36,1,1,1,3,3,
23524,2,1,1,3,5,201,61,5,197,190,273,5,22,1,1,1,3,2,
97692,1,1,3,3,17,591,74,17,581,470,2222,6,6,1,1,1,2,3,
90334,1,1,1,3,5,201,77,5,197,190,3888,1,1,1,1,1,3,3,
83772,1,1,4,1,3,78,49,3,76,6,519,17,75,1,1,1,1,3,
43214,2,1,1,3,13,176,84,13,176,167,713,3,38,1,1,1,5,5,
69078,1,1,2,3,25,117,113,24,114,111,144,31,173,1,1,1,7,2,
5685,2,1,3,3,14,548,54,14,455,414,1632,3,20,1,3,2,4,4,
40182,1,1,3,4,9,568,216,9,75,154,2091,7,10,1,1,1,4,2,
140156,2,1,4,7,15,96,61,15,93,45,199,10,116,1,1,1,4,2,
132472,2,1,3,3,13,310,59,13,172,474,4155,9,35,1,1,1,2,3,
92652,1,1,1,1,7,240,30,7,242,232,356,1,59,2,1,1,2,3,
19993,1,1,3,5,20,354,1684,20,353,107,5370,1,1,1,1,1,4,2,
125467,2,1,2,3,16,396,123,16,396,120,1206,9,43,1,3,2,3,3,
14638,1,1,3,3,7,274,30,7,274,232,420,1,8,1,1,1,5,2,
123011,2,1,3,7,15,314,519,15,317,268,1129,12,17,1,1,1,3,2,
96476,1,1,3,3,5,171,50,5,39,39,2840,7,47,18,1,1,3,3,
29032,2,1,4,3,5,27,731,5,343,320,1835,3,9,4,1,1,1,2,
74284,2,1,1,3,5,157,780,5,155,150,1993,4,7,1,1,1,3,3,
5085,2,1,3,4,13,419,59,13,331,311,891,7,52,1,1,1,3,3,
1500,1,1,4,1,6,212,74,6,208,422,1166,1,8,1,1,1,2,2,
89553,1,1,3,3,3,62,1213,3,398,230,3629,2,34,12,3,2,3,3,
147148,2,1,1,3,5,358,1536,5,358,363,4769,6,6,1,1,1,2,2,
84022,1,1,1,1,9,500,532,9,24,24,3871,6,6,1,1,1,2,3,
67776,2,1,4,4,5,294,61,5,279,266,125,6,55,1,1,1,4,3,
46651,1,1,4,1,3,9,49,3,9,9,2635,7,10,1,1,1,6,3,
95187,1,1,1,1,8,389,387,8,384,99,757,5,5,1,1,1,2,3,
19357,2,1,3,1,5,353,355,5,289,274,1289,3,19,1,1,1,2,3,
43376,1,1,3,3,11,93,352,8,16,16,1579,1,1,1,1,1,5,3,
119481,2,1,1,3,6,104,235,6,8,8,3259,10,14,1,1,1,2,3,
11735,1,1,3,3,3,62,132,3,398,230,171,7,10,1,4,2,3,2,
117158,2,1,3,3,12,161,157,12,174,201,296,3,9,2,1,1,3,3,
101136,2,1,3,3,5,43,383,12,381,30,753,3,9,1,3,2,3,3,
34309,2,1,3,3,5,201,650,5,197,190,1557,4,70,2,1,1,2,2,
18593,1,1,4,1,17,166,74,17,164,68,1855,1,1,1,2,2,1,2,
19129,1,1,1,3,1,190,608,1,188,182,5287,1,8,1,1,1,4,2,
125739,2,1,1,3,17,166,157,17,164,68,217,3,9,2,1,1,3,3,
40970,2,1,4,3,4,37,178,4,37,37,1068,4,7,1,1,1,7,3,
46902,1,1,3,3,3,69,3,3,68,4,4727,10,25,1,1,1,2,2,
104012,2,1,1,3,1,14,255,1,14,123,1199,3,20,1,1,1,4,5,
145888,2,1,1,3,4,312,1237,4,313,297,3721,4,70,2,2,2,4,5,
13958,2,1,1,3,11,244,90,11,246,408,4633,20,51,1,1,1,3,3,
55086,1,1,1,3,6,8,33,6,8,8,2422,9,36,1,1,1,4,2,
115301,1,1,3,3,19,211,701,19,207,61,2623,5,77,1,1,1,3,3,
34202,1,1,1,7,15,263,258,15,260,251,4400,6,6,1,3,2,3,5,
125450,1,1,3,5,20,434,596,20,495,174,3407,1,1,1,1,1,3,3,
62665,2,1,1,5,1,182,14,1,484,73,1353,6,41,9,1,1,4,6,
61332,1,1,4,7,15,96,61,15,93,45,199,30,133,1,1,1,4,2,
61299,1,1,3,3,4,234,423,4,236,226,7121,1,1,1,1,1,7,2,
71158,2,1,3,3,13,176,26,13,176,167,4845,10,65,2,1,1,4,3,
81544,2,1,2,4,16,219,135,16,217,210,315,12,17,1,3,2,2,3,
24500,1,2,3,5,20,170,8,20,168,161,1612,13,7,1,1,1,3,2,
72932,2,1,3,3,13,419,59,13,331,311,1076,2,123,1,1,1,5,3,
32484,1,1,1,3,18,331,123,18,329,242,2097,25,87,1,3,2,4,3,
109047,1,1,3,3,6,79,73,6,77,78,6363,1,1,1,1,1,3,2,
46508,1,1,4,3,8,326,115,8,443,16,1051,1,24,1,1,1,3,2,
